symbol,company_name,macro_sector,niche_subsector,business_segment,segment_tag,is_core_revenue,segment_description
ASHOKLEY,Ashok Leyland Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
ASIANENE,Asian Energy Services Limited,Power Generation & Grid Utilities,"Thermal, Hydro Power Generation & Transmission Grid","Thermal, Hydro Power Generation & Transmission Grid",PRIMARY,1,"Core Operating Division: Thermal, Hydro Power Generation & Transmission Grid"
ASIANHOTNR,Asian Hotels (North) Limited,Hotels & Luxury Resorts,"Luxury Palaces, Heritage Resorts & Business Hotels","Luxury Palaces, Heritage Resorts & Business Hotels",PRIMARY,1,"Core Operating Division: Luxury Palaces, Heritage Resorts & Business Hotels"
ASIANPAINT,Asian Paints Limited,"Paints, Coatings & Adhesives","Decorative Wall Coatings, Enamels & Adhesives","Decorative Wall Coatings, Enamels & Adhesives",PRIMARY,1,"Core Operating Division: Decorative Wall Coatings, Enamels & Adhesives"
ASIANTILES,Asian Granito India Limited,Cement & Building Materials,"Cement, Clinker, Ceramic Tiles & Building Glass","Cement, Clinker, Ceramic Tiles & Building Glass",PRIMARY,1,"Core Operating Division: Cement, Clinker, Ceramic Tiles & Building Glass"
ASIANTNE,Asian Tea & Exports Limited,"FMCG, Food Staples & Personal Care","Tea Plantations, Processing & Blended Tea","Tea Plantations, Processing & Blended Tea",PRIMARY,1,"Core Operating Division: Tea Plantations, Processing & Blended Tea"
ASKAUTOLTD,ASK Automotive Limited,Auto Components & Ancillaries,"Automotive Lighting, Forgings, Tyres & Ancillaries","Automotive Lighting, Forgings, Tyres & Ancillaries",PRIMARY,1,"Core Operating Division: Automotive Lighting, Forgings, Tyres & Ancillaries"
ASMS,Avio Smart Market Stack Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
ASPINWALL,Aspinwall and Company Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
ASSAMENT,Assam Entrade Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
ASTAR,Asian Star Company Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
ASTEC,Astec LifeSciences Limited,Pharmaceutical Formulations & Generics,"Branded Formulations, Generics & Biosimilars","Branded Formulations, Generics & Biosimilars",PRIMARY,1,"Core Operating Division: Branded Formulations, Generics & Biosimilars"
ASTERDM,Aster DM Quality Care Limited,Hospitals & Healthcare Services,Multi-Specialty & Tertiary Hospital Networks,Multi-Specialty & Tertiary Hospital Networks,PRIMARY,1,Core Operating Division: Multi-Specialty & Tertiary Hospital Networks
ASTRAL,Astral Limited,"Pipes, Plumbing & Fittings","CPVC, PVC Plumbing Pipes & Adhesives (Bondtite)","CPVC, PVC Plumbing Pipes & Adhesives (Bondtite)",PRIMARY,1,"Core Operating Division: CPVC, PVC Plumbing Pipes & Adhesives (Bondtite)"
ASTRAMICRO,Astra Microwave Products Limited,Aerospace & Defence,"Defence Radar Modules, EW & Space Subsystems","Defence Radar Modules, EW & Space Subsystems",PRIMARY,1,"Core Operating Division: Defence Radar Modules, EW & Space Subsystems"
ASTRAZEN,AstraZeneca Pharma India Limited,Pharmaceutical Formulations & Generics,"Branded Formulations, Generics & Biosimilars","Branded Formulations, Generics & Biosimilars",PRIMARY,1,"Core Operating Division: Branded Formulations, Generics & Biosimilars"
ASTRON,Astron Paper & Board Mill Limited,"Paper, Packaging & Wood Products","Paper, Paperboards, Plywood & Flexible Packaging","Paper, Paperboards, Plywood & Flexible Packaging",PRIMARY,1,"Core Operating Division: Paper, Paperboards, Plywood & Flexible Packaging"
ATALREAL,Atal Realtech Limited,IT Services & Enterprise Software,"Global IT Consulting, Cloud & Enterprise Software","Global IT Consulting, Cloud & Enterprise Software",PRIMARY,1,"Core Operating Division: Global IT Consulting, Cloud & Enterprise Software"
ATAM,Atam Valves Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
ATGL,Adani Total Gas Limited,"Travel, Tourism & Hospitality Tech","Online Travel Booking, Hospitality SaaS & Tourism","Online Travel Booking, Hospitality SaaS & Tourism",PRIMARY,1,"Core Operating Division: Online Travel Booking, Hospitality SaaS & Tourism"
ATHERENERG,Ather Energy Limited,Power Generation & Grid Utilities,"Thermal, Hydro Power Generation & Transmission Grid","Thermal, Hydro Power Generation & Transmission Grid",PRIMARY,1,"Core Operating Division: Thermal, Hydro Power Generation & Transmission Grid"
ATL,Allcargo Terminals Limited,"Logistics, Ports & Shipping","Express Logistics, Container Rail Freight, Ports & Marine","Express Logistics, Container Rail Freight, Ports & Marine",PRIMARY,1,"Core Operating Division: Express Logistics, Container Rail Freight, Ports & Marine"
ATLANTAA,ATLANTAA LIMITED,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
ATLANTAELE,Atlanta Electricals Limited,Power Generation & Grid Utilities,"Thermal, Hydro Power Generation & Transmission Grid","Thermal, Hydro Power Generation & Transmission Grid",PRIMARY,1,"Core Operating Division: Thermal, Hydro Power Generation & Transmission Grid"
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
ATUL,Atul Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
ATULAUTO,Atul Auto Limited,Auto Components & Ancillaries,"Automotive Lighting, Forgings, Tyres & Ancillaries","Automotive Lighting, Forgings, Tyres & Ancillaries",PRIMARY,1,"Core Operating Division: Automotive Lighting, Forgings, Tyres & Ancillaries"
AUBANK,AU Small Finance Bank Limited,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
AURIONPRO,Aurionpro Solutions Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AUROPHARMA,Aurobindo Pharma Limited,Pharmaceutical Formulations & Generics,"Branded Formulations, Generics & Biosimilars","Branded Formulations, Generics & Biosimilars",PRIMARY,1,"Core Operating Division: Branded Formulations, Generics & Biosimilars"
AURUM,Aurum PropTech Limited,IT Services & Enterprise Software,"Global IT Consulting, Cloud & Enterprise Software","Global IT Consulting, Cloud & Enterprise Software",PRIMARY,1,"Core Operating Division: Global IT Consulting, Cloud & Enterprise Software"
AURUS,AURUS GEM CORPORATION LIMITED,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AUSOMENT,Ausom Enterprise Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AUSTENG,Austin Engineering Company  Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
AUTOAXLES,Automotive Axles Limited,Auto Components & Ancillaries,"Automotive Lighting, Forgings, Tyres & Ancillaries","Automotive Lighting, Forgings, Tyres & Ancillaries",PRIMARY,1,"Core Operating Division: Automotive Lighting, Forgings, Tyres & Ancillaries"
AUTOIND,Autoline Industries Limited,Auto Components & Ancillaries,"Automotive Lighting, Forgings, Tyres & Ancillaries","Automotive Lighting, Forgings, Tyres & Ancillaries",PRIMARY,1,"Core Operating Division: Automotive Lighting, Forgings, Tyres & Ancillaries"
AVADHSUGAR,Avadh Sugar & Energy Limited,"Sugar, Distilleries & Alcoholic Beverages","Sugar, Bio-Ethanol, Breweries & Distilled Spirits","Sugar, Bio-Ethanol, Breweries & Distilled Spirits",PRIMARY,1,"Core Operating Division: Sugar, Bio-Ethanol, Breweries & Distilled Spirits"
AVALON,Avalon Technologies Limited,Electronic Manufacturing Services (EMS),High-Reliability Aerospace Box-Build & Cable EMS,High-Reliability Aerospace Box-Build & Cable EMS,PRIMARY,1,Core Operating Division: High-Reliability Aerospace Box-Build & Cable EMS
AVANCE,Avance Technologies Limited,IT Services & Enterprise Software,"Global IT Consulting, Cloud & Enterprise Software","Global IT Consulting, Cloud & Enterprise Software",PRIMARY,1,"Core Operating Division: Global IT Consulting, Cloud & Enterprise Software"
AVANTEL,Avantel Limited,Aerospace & Defence,Military Satellite Communication & Tactical Radios,Military Satellite Communication & Tactical Radios,PRIMARY,1,Core Operating Division: Military Satellite Communication & Tactical Radios
AVANTIFEED,Avanti Feeds Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AVG,AVG Logistics Limited,"Logistics, Ports & Shipping",Cold Chain & Multi-Modal Rail Freight Transport,Cold Chain & Multi-Modal Rail Freight Transport,PRIMARY,1,Core Operating Division: Cold Chain & Multi-Modal Rail Freight Transport
AVL,Aditya Vision Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AVONMORE,Avonmore Capital & Management Services Limited,API & CDMO Manufacturing,Active Pharmaceutical Ingredients & CDMO Synthesis,Active Pharmaceutical Ingredients & CDMO Synthesis,PRIMARY,1,Core Operating Division: Active Pharmaceutical Ingredients & CDMO Synthesis
AVROIND,AVRO INDIA LIMITED,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
AVTNPL,AVT Natural Products Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AWFIS,Awfis Space Solutions Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AWHCL,Antony Waste Handling Cell Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AWL,AWL Agri Business Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AXISBANK,Axis Bank Limited,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
AXISCADES,AXISCADES Technologies Limited,IT Services & Enterprise Software,"Global IT Consulting, Cloud & Enterprise Software","Global IT Consulting, Cloud & Enterprise Software",PRIMARY,1,"Core Operating Division: Global IT Consulting, Cloud & Enterprise Software"
AXITA,Axita Cotton Limited,"Textiles, Apparel & Fashion Retail","Cotton Spinning, Denim, Branded Apparel & Fashion Retail","Cotton Spinning, Denim, Branded Apparel & Fashion Retail",PRIMARY,1,"Core Operating Division: Cotton Spinning, Denim, Branded Apparel & Fashion Retail"
AXTEL,Axtel Industries Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
AYE,Aye Finance Limited,"NBFC, Housing & Lending Finance","Diversified Consumer, Housing & Microfinance Lending","Diversified Consumer, Housing & Microfinance Lending",PRIMARY,1,"Core Operating Division: Diversified Consumer, Housing & Microfinance Lending"
AYMSYNTEX,AYM Syntex Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AZAD,Azad Engineering Limited,Aerospace & Defence,Precision Aerospace Turbine Blades & Components,Precision Aerospace Turbine Blades & Components,PRIMARY,1,Core Operating Division: Precision Aerospace Turbine Blades & Components
AZADIND,Azad India Mobility Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
BAFNAPH,Bafna Pharmaceuticals Limited,Pharmaceutical Formulations & Generics,"Branded Formulations, Generics & Biosimilars","Branded Formulations, Generics & Biosimilars",PRIMARY,1,"Core Operating Division: Branded Formulations, Generics & Biosimilars"
BAGFILMS,B.A.G Films and Media Limited,"Media, Broadcasting & Entertainment","Television Broadcasting, Multiplex Cinemas & Studios","Television Broadcasting, Multiplex Cinemas & Studios",PRIMARY,1,"Core Operating Division: Television Broadcasting, Multiplex Cinemas & Studios"
BAIDFIN,Baid Finserv Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BAJAJ-AUTO,Bajaj Auto Limited,Auto Components & Ancillaries,"Automotive Lighting, Forgings, Tyres & Ancillaries","Automotive Lighting, Forgings, Tyres & Ancillaries",PRIMARY,1,"Core Operating Division: Automotive Lighting, Forgings, Tyres & Ancillaries"
BAJAJCON,Bajaj Consumer Care Limited,Hospitals & Healthcare Services,Multi-Specialty & Tertiary Hospital Networks,Multi-Specialty & Tertiary Hospital Networks,PRIMARY,1,Core Operating Division: Multi-Specialty & Tertiary Hospital Networks
BAJAJELEC,Bajaj Electricals Limited,Power Generation & Grid Utilities,"Thermal, Hydro Power Generation & Transmission Grid","Thermal, Hydro Power Generation & Transmission Grid",PRIMARY,1,"Core Operating Division: Thermal, Hydro Power Generation & Transmission Grid"
BAJAJFINSV,Bajaj Finserv Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BAJAJHCARE,Bajaj Healthcare Limited,Hospitals & Healthcare Services,Multi-Specialty & Tertiary Hospital Networks,Multi-Specialty & Tertiary Hospital Networks,PRIMARY,1,Core Operating Division: Multi-Specialty & Tertiary Hospital Networks
BAJAJHFL,Bajaj Housing Finance Limited,Real Estate Development,"Residential Housing, Townships & Commercial Tech Parks","Residential Housing, Townships & Commercial Tech Parks",PRIMARY,1,"Core Operating Division: Residential Housing, Townships & Commercial Tech Parks"
BAJAJHIND,Bajaj Hindusthan Sugar Limited,"Sugar, Distilleries & Alcoholic Beverages","Sugar, Bio-Ethanol, Breweries & Distilled Spirits","Sugar, Bio-Ethanol, Breweries & Distilled Spirits",PRIMARY,1,"Core Operating Division: Sugar, Bio-Ethanol, Breweries & Distilled Spirits"
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BAJAJINDEF,Indef Manufacturing Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
BAJAJST,Bajaj Steel Industries Limited,Steel & Iron Products,"Integrated Flat/Long Steel, Stainless & Steel Pipes","Integrated Flat/Long Steel, Stainless & Steel Pipes",PRIMARY,1,"Core Operating Division: Integrated Flat/Long Steel, Stainless & Steel Pipes"
BAJEL,Bajel Projects Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BAJFINANCE,Bajaj Finance Limited,"NBFC, Housing & Lending Finance","Diversified Consumer, Housing & Microfinance Lending","Diversified Consumer, Housing & Microfinance Lending",PRIMARY,1,"Core Operating Division: Diversified Consumer, Housing & Microfinance Lending"
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,"Agrochemicals, Fertilisers & Seeds","Crop Protection Chemicals, Fertilisers & Hybrid Seeds","Crop Protection Chemicals, Fertilisers & Hybrid Seeds",PRIMARY,1,"Core Operating Division: Crop Protection Chemicals, Fertilisers & Hybrid Seeds"
BALAJITELE,Balaji Telefilms Limited,"Media, Broadcasting & Entertainment","Television Broadcasting, Multiplex Cinemas & Studios","Television Broadcasting, Multiplex Cinemas & Studios",PRIMARY,1,"Core Operating Division: Television Broadcasting, Multiplex Cinemas & Studios"
BALAMINES,Balaji Amines Limited,Chemicals & Specialty Materials,"Specialty Chemicals, Fluorochemicals & Intermediates","Specialty Chemicals, Fluorochemicals & Intermediates",PRIMARY,1,"Core Operating Division: Specialty Chemicals, Fluorochemicals & Intermediates"
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Pharmaceutical Formulations & Generics,"Branded Formulations, Generics & Biosimilars","Branded Formulations, Generics & Biosimilars",PRIMARY,1,"Core Operating Division: Branded Formulations, Generics & Biosimilars"
BALKRISHNA,Balkrishna Paper Mills Limited,"Paper, Packaging & Wood Products","Paper, Paperboards, Plywood & Flexible Packaging","Paper, Paperboards, Plywood & Flexible Packaging",PRIMARY,1,"Core Operating Division: Paper, Paperboards, Plywood & Flexible Packaging"
BALKRISIND,Balkrishna Industries Limited,Auto Components & Ancillaries,Off-Highway & Agricultural Giant Tyres (BKT),Off-Highway & Agricultural Giant Tyres (BKT),PRIMARY,1,Core Operating Division: Off-Highway & Agricultural Giant Tyres (BKT)
BALMLAWRIE,Balmer Lawrie & Company Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BALPHARMA,Bal Pharma Limited,Pharmaceutical Formulations & Generics,"Branded Formulations, Generics & Biosimilars","Branded Formulations, Generics & Biosimilars",PRIMARY,1,"Core Operating Division: Branded Formulations, Generics & Biosimilars"
BALRAMCHIN,Balrampur Chini Mills Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BALUFORGE,Balu Forge Industries Limited,Auto Components & Ancillaries,"Automotive Lighting, Forgings, Tyres & Ancillaries","Automotive Lighting, Forgings, Tyres & Ancillaries",PRIMARY,1,"Core Operating Division: Automotive Lighting, Forgings, Tyres & Ancillaries"
BANARBEADS,Banaras Beads Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BANARISUG,Bannari Amman Sugars Limited,"Sugar, Distilleries & Alcoholic Beverages","Sugar, Bio-Ethanol, Breweries & Distilled Spirits","Sugar, Bio-Ethanol, Breweries & Distilled Spirits",PRIMARY,1,"Core Operating Division: Sugar, Bio-Ethanol, Breweries & Distilled Spirits"
BANCOINDIA,Banco Products (I) Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
BANDHANBNK,Bandhan Bank Limited,Commercial Banking,Private & Public Sector Commercial Banking,Private & Public Sector Commercial Banking,PRIMARY,1,Core Operating Division: Private & Public Sector Commercial Banking
BANG,Bang Overseas Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BANKA,Banka BioLoo Limited,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
BANKBARODA,Bank of Baroda,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
BANKINDIA,Bank of India,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
BANSALWIRE,Bansal Wire Industries Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
BANSWRAS,Banswara Syntex Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BASF,BASF India Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
BASML,Bannari Amman Spinning Mills Limited,"Textiles, Apparel & Fashion Retail","Cotton Spinning, Denim, Branded Apparel & Fashion Retail","Cotton Spinning, Denim, Branded Apparel & Fashion Retail",PRIMARY,1,"Core Operating Division: Cotton Spinning, Denim, Branded Apparel & Fashion Retail"
BATAINDIA,Bata India Limited,Footwear & Leather,Formal & Retail Footwear (Bata/Hush Puppies),Formal & Retail Footwear (Bata/Hush Puppies),PRIMARY,1,Core Operating Division: Formal & Retail Footwear (Bata/Hush Puppies)
BATLIBOI,Batliboi Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BAYERCROP,Bayer Cropscience Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BBL,Bharat Bijlee Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BBOX,Black Box Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BBTC,The Bombay Burmah Trading Corporation Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BBTCL,B&B Triplewall Containers Limited,"Logistics, Ports & Shipping","Express Logistics, Container Rail Freight, Ports & Marine","Express Logistics, Container Rail Freight, Ports & Marine",PRIMARY,1,"Core Operating Division: Express Logistics, Container Rail Freight, Ports & Marine"
BCG,Brightcom Group Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BCLIND,Bcl Industries Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
BCONCEPTS,Brand Concepts Limited,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
BCPL,BCPL Railway Infrastructure Limited,Civil Infrastructure & EPC,"Highways, Bridges, Urban Metro & Infrastructure EPC","Highways, Bridges, Urban Metro & Infrastructure EPC",PRIMARY,1,"Core Operating Division: Highways, Bridges, Urban Metro & Infrastructure EPC"
BDL,Bharat Dynamics Limited,Aerospace & Defence,Surface-to-Air Missiles & Torpedoes (Akash/Astra),Surface-to-Air Missiles & Torpedoes (Akash/Astra),PRIMARY,1,Core Operating Division: Surface-to-Air Missiles & Torpedoes (Akash/Astra)
BEARDSELL,Beardsell Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
BECTORFOOD,Mrs. Bectors Food Specialities Limited,"FMCG, Food Staples & Personal Care",Biscuits & Bakery Products (Cremica/English Oven),Biscuits & Bakery Products (Cremica/English Oven),PRIMARY,1,Core Operating Division: Biscuits & Bakery Products (Cremica/English Oven)
BEDMUTHA,Bedmutha Industries Limited,Industrial Machinery & Precision Engineering,"Industrial Machinery, Motors, Pumps & Precision Castings","Industrial Machinery, Motors, Pumps & Precision Castings",PRIMARY,1,"Core Operating Division: Industrial Machinery, Motors, Pumps & Precision Castings"
BEEKAY,Beekay Steel Industries Limited,Steel & Iron Products,"Integrated Flat/Long Steel, Stainless & Steel Pipes","Integrated Flat/Long Steel, Stainless & Steel Pipes",PRIMARY,1,"Core Operating Division: Integrated Flat/Long Steel, Stainless & Steel Pipes"
BEL,Bharat Electronics Limited,Aerospace & Defence,"Defence Radars, Electronic Warfare & Avionics","Defence Radars, Electronic Warfare & Avionics",PRIMARY,1,"Core Operating Division: Defence Radars, Electronic Warfare & Avionics"
