symbol,old_sector,old_industry,new_sector,new_industry,classification_changed,reason,confidence
FLAIR,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,STEEL,Secondary Steel & TMT Rebars,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'STEEL / Secondary Steel & TMT Rebars',HIGH
FLEXIADD,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CAPITAL MARKETS,Exchange Traded Funds (ETF),True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CAPITAL MARKETS / Exchange Traded Funds (ETF)',HIGH
FLEXITUFF,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,FINANCE & NBFC,Diversified Consumer & MSME NBFC,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'FINANCE & NBFC / Diversified Consumer & MSME NBFC',HIGH
FLFL,RETAIL,Specialty Consumer Retail,TEXTILES,Garments & Apparel Exports,True,Reclassified from legacy 'RETAIL / Specialty Consumer Retail' to clean economic model 'TEXTILES / Garments & Apparel Exports',HIGH
FLUOROCHEM,CHEMICALS,Fluorochemicals & Specialty Halogens,CHEMICALS,Fluorochemicals,True,Reclassified from legacy 'CHEMICALS / Fluorochemicals & Specialty Halogens' to clean economic model 'CHEMICALS / Fluorochemicals',HIGH
FLYSBS,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,AVIATION,Passenger Airlines,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'AVIATION / Passenger Airlines',HIGH
FMCGADD,CAPITAL MARKETS,Exchange Traded Funds (ETF),CAPITAL MARKETS,Exchange Traded Funds (ETF),False,Refined into crisp 2-tier Sector + Industry framework,HIGH
FMGOETZE,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,BANKING,Private Sector Banks,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'BANKING / Private Sector Banks',HIGH
FMNL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,REAL ESTATE,Residential Townships & Commercial REITs,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'REAL ESTATE / Residential Townships & Commercial REITs',HIGH
FOCUS,AUTO ANCILLARIES,Auto Lighting & Electricals,STEEL,Secondary Steel & TMT Rebars,True,Reclassified from legacy 'AUTO ANCILLARIES / Auto Lighting & Electricals' to clean economic model 'STEEL / Secondary Steel & TMT Rebars',HIGH
FONEBOX,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,RETAIL,Specialty Retail Boutiques,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'RETAIL / Specialty Retail Boutiques',HIGH
FOODSIN,RICE,Non-Basmati & Regional Rice Processing,FOOD PROCESSING,Packaged Foods & Snacks,True,Reclassified from legacy 'RICE / Non-Basmati & Regional Rice Processing' to clean economic model 'FOOD PROCESSING / Packaged Foods & Snacks',HIGH
FORCAS,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,SERVICES & MEDIA,Staffing & Workforce Security,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'SERVICES & MEDIA / Staffing & Workforce Security',HIGH
FORCEMOT,AUTO,Automobile OEM Assembly,AUTOMOBILE,Passenger Vehicles (Cars & SUVs),True,Reclassified from legacy 'AUTO / Automobile OEM Assembly' to clean economic model 'AUTOMOBILE / Passenger Vehicles (Cars & SUVs)',HIGH
FORGEAUTO,AUTO ANCILLARIES,General Auto Components,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,True,Reclassified from legacy 'AUTO ANCILLARIES / General Auto Components' to clean economic model 'AUTO ANCILLARIES / Auto Castings & Heavy Forgings',HIGH
FORTIS,HEALTHCARE SERVICES,Hospitals & Multi-Specialty Chains,PHARMACEUTICALS,Finished Formulations,True,Reclassified from legacy 'HEALTHCARE SERVICES / Hospitals & Multi-Specialty Chains' to clean economic model 'PHARMACEUTICALS / Finished Formulations',HIGH
FOSECOIND,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CHEMICALS,Specialty Chemicals,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CHEMICALS / Specialty Chemicals',HIGH
FRACTAL,IT SERVICES,Mid-Tier IT Services & Digital Consulting,DATA CENTERS & CLOUD,"AI Solutions, Analytics & Cloud Data",True,"Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'DATA CENTERS & CLOUD / AI Solutions, Analytics & Cloud Data'",HIGH
FREDUN,PHARMACEUTICALS,Finished Dosage Formulations,PHARMACEUTICALS,Finished Formulations,True,Reclassified from legacy 'PHARMACEUTICALS / Finished Dosage Formulations' to clean economic model 'PHARMACEUTICALS / Finished Formulations',HIGH
FRESHARA,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,FOOD PROCESSING,Packaged Foods & Snacks,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'FOOD PROCESSING / Packaged Foods & Snacks',HIGH
FROG,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,IT SERVICES,Enterprise Software & SaaS,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'IT SERVICES / Enterprise Software & SaaS',HIGH
FRONTSP,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,RAILWAYS,"Rolling Stock, Wagons & Vande Bharat Trainsets",True,"Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'RAILWAYS / Rolling Stock, Wagons & Vande Bharat Trainsets'",HIGH
FSL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
FUSION,NBFC & LENDING,Microfinance Institutions (MFI),FINANCE & NBFC,Microfinance (MFI),True,Reclassified from legacy 'NBFC & LENDING / Microfinance Institutions (MFI)' to clean economic model 'FINANCE & NBFC / Microfinance (MFI)',HIGH
FWSTC,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,TEXTILES,Cotton Spinning & Yarns,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'TEXTILES / Cotton Spinning & Yarns',HIGH
GABRIEL,AUTO ANCILLARIES,Auto Braking & Suspension Systems,AUTO ANCILLARIES,Auto Transmission & Driveline,True,Reclassified from legacy 'AUTO ANCILLARIES / Auto Braking & Suspension Systems' to clean economic model 'AUTO ANCILLARIES / Auto Transmission & Driveline',HIGH
GAEL,SHIPBUILDING & PORTS,Dredging & Marine Civil Infrastructure,SHIPBUILDING & PORTS,Commercial Ports & Terminals,True,Reclassified from legacy 'SHIPBUILDING & PORTS / Dredging & Marine Civil Infrastructure' to clean economic model 'SHIPBUILDING & PORTS / Commercial Ports & Terminals',HIGH
GAIL,OIL & GAS,City Gas Distribution & LNG Terminals,OIL & GAS,Gas Transmission Pipelines,True,Reclassified from legacy 'OIL & GAS / City Gas Distribution & LNG Terminals' to clean economic model 'OIL & GAS / Gas Transmission Pipelines',HIGH
GALAPREC,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,AUTO ANCILLARIES,Precision Auto Engine Components,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'AUTO ANCILLARIES / Precision Auto Engine Components',HIGH
GALAXYSURF,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,FMCG & PERSONAL CARE,Personal Care & Soaps,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'FMCG & PERSONAL CARE / Personal Care & Soaps',HIGH
GALLANTT,STEEL,Secondary & Sponge Iron Re-Rolling,STEEL,Secondary Steel & TMT Rebars,True,Reclassified from legacy 'STEEL / Secondary & Sponge Iron Re-Rolling' to clean economic model 'STEEL / Secondary Steel & TMT Rebars',HIGH
GANDHAR,OIL & GAS,Petrochemical Intermediates & Solvents,EDIBLE OILS,Edible Oils & Vanaspati,True,Reclassified from legacy 'OIL & GAS / Petrochemical Intermediates & Solvents' to clean economic model 'EDIBLE OILS / Edible Oils & Vanaspati',HIGH
GANDHITUBE,STEEL,"Steel Pipes, Tubes & Subsea Pipelines",STEEL,Steel Pipes & Tubes,True,"Reclassified from legacy 'STEEL / Steel Pipes, Tubes & Subsea Pipelines' to clean economic model 'STEEL / Steel Pipes & Tubes'",HIGH
GANECOS,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,TEXTILES,Recycled Polyester & Eco-Yarns,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'TEXTILES / Recycled Polyester & Eco-Yarns',HIGH
GANESHBE,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,LOGISTICS & SUPPLY CHAIN,Liquid Storage Terminals & Logistics,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'LOGISTICS & SUPPLY CHAIN / Liquid Storage Terminals & Logistics',HIGH
GANESHCP,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,FOOD PROCESSING,Packaged Foods & Snacks,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'FOOD PROCESSING / Packaged Foods & Snacks',HIGH
GANESHHOU,REAL ESTATE,Residential Real Estate Developers,REAL ESTATE,Residential Real Estate,True,Reclassified from legacy 'REAL ESTATE / Residential Real Estate Developers' to clean economic model 'REAL ESTATE / Residential Real Estate',HIGH
GANESHIN,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,COMMERCIAL TRADING,Commodity & Wholesale Trading,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'COMMERCIAL TRADING / Commodity & Wholesale Trading',HIGH
GANGAFORGE,AUTO ANCILLARIES,Auto Castings & Forgings,STEEL,Secondary Steel & TMT Rebars,True,Reclassified from legacy 'AUTO ANCILLARIES / Auto Castings & Forgings' to clean economic model 'STEEL / Secondary Steel & TMT Rebars',HIGH
GANGESSECU,CAPITAL MARKETS,Wealth Management & Financial Advisory,CAPITAL MARKETS,Stockbroking & Wealth Management,True,Reclassified from legacy 'CAPITAL MARKETS / Wealth Management & Financial Advisory' to clean economic model 'CAPITAL MARKETS / Stockbroking & Wealth Management',HIGH
GARFIBRES,TEXTILES,Cotton Spinning & Fabric Weaving,TELECOM,Optical Fiber & Telecom Gear,True,Reclassified from legacy 'TEXTILES / Cotton Spinning & Fabric Weaving' to clean economic model 'TELECOM / Optical Fiber & Telecom Gear',HIGH
GARUDA,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Building Construction,AUTO ANCILLARIES,Precision Auto Engine Components,True,Reclassified from legacy 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Building Construction' to clean economic model 'AUTO ANCILLARIES / Precision Auto Engine Components',HIGH
GATECH,IT SERVICES,Mid-Tier IT Services & Digital Consulting,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
GATECHDVR,IT SERVICES,Mid-Tier IT Services & Digital Consulting,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
GATEWAY,LOGISTICS & SUPPLY CHAIN,Containerized Rail Freight & Inland Depots,LOGISTICS & SUPPLY CHAIN,Freight Forwarding & Multi-Modal Cargo,True,Reclassified from legacy 'LOGISTICS & SUPPLY CHAIN / Containerized Rail Freight & Inland Depots' to clean economic model 'LOGISTICS & SUPPLY CHAIN / Freight Forwarding & Multi-Modal Cargo',HIGH
GAUDIUMIVF,PHARMACEUTICALS,Finished Dosage Formulations,PHARMACEUTICALS,Finished Formulations,True,Reclassified from legacy 'PHARMACEUTICALS / Finished Dosage Formulations' to clean economic model 'PHARMACEUTICALS / Finished Formulations',HIGH
GAYAHWS,CONSTRUCTION & INFRASTRUCTURE,Roads & Highways EPC & HAM,CONSTRUCTION & INFRASTRUCTURE,Roads & Highways EPC,True,Reclassified from legacy 'CONSTRUCTION & INFRASTRUCTURE / Roads & Highways EPC & HAM' to clean economic model 'CONSTRUCTION & INFRASTRUCTURE / Roads & Highways EPC',HIGH
GAYAPROJ,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Building Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,True,Reclassified from legacy 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Building Construction' to clean economic model 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Construction',HIGH
GCHOTELS,HOTELS & HOSPITALITY,"Luxury, Business & Boutique Hotels",HOTELS & HOSPITALITY,Luxury Hotels & Resorts,True,"Reclassified from legacy 'HOTELS & HOSPITALITY / Luxury, Business & Boutique Hotels' to clean economic model 'HOTELS & HOSPITALITY / Luxury Hotels & Resorts'",HIGH
GCSL,PROFESSIONAL & BPO SERVICES,"Staffing, Facility & Security Services",CAPITAL MARKETS,Wealth Broking & Advisory,True,"Reclassified from legacy 'PROFESSIONAL & BPO SERVICES / Staffing, Facility & Security Services' to clean economic model 'CAPITAL MARKETS / Wealth Broking & Advisory'",HIGH
GEECEE,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,FINANCE & NBFC,Diversified Consumer & MSME NBFC,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'FINANCE & NBFC / Diversified Consumer & MSME NBFC',HIGH
GEEKAYWIRE,CONSUMER ELECTRICALS,Cables & Wires,CONSUMER ELECTRICALS,Wires & Cables,True,Reclassified from legacy 'CONSUMER ELECTRICALS / Cables & Wires' to clean economic model 'CONSUMER ELECTRICALS / Wires & Cables',HIGH
GEMAROMA,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CHEMICALS,Specialty Chemicals,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CHEMICALS / Specialty Chemicals',HIGH
GENCON,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Building Construction,AUTO ANCILLARIES,Precision Auto Engine Components,True,Reclassified from legacy 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Building Construction' to clean economic model 'AUTO ANCILLARIES / Precision Auto Engine Components',HIGH
GENESYS,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,IT SERVICES,Geospatial AI & Digital Mapping,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'IT SERVICES / Geospatial AI & Digital Mapping',HIGH
GENSOL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,AUTO ANCILLARIES,Precision Auto Engine Components,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'AUTO ANCILLARIES / Precision Auto Engine Components',HIGH
GENUSPAPER,PAPER & PACKAGING,"Paper, Paperboard & Corrugated Cartons",PAPER & PACKAGING,Paperboard & Packaging Cartons,True,"Reclassified from legacy 'PAPER & PACKAGING / Paper, Paperboard & Corrugated Cartons' to clean economic model 'PAPER & PACKAGING / Paperboard & Packaging Cartons'",HIGH
GENUSPOWER,EMS & ELECTRONICS,Electronic Manufacturing Services (EMS),POWER,Conventional Thermal & Fossil Power,True,Reclassified from legacy 'EMS & ELECTRONICS / Electronic Manufacturing Services (EMS)' to clean economic model 'POWER / Conventional Thermal & Fossil Power',HIGH
GENXAI,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,DATA CENTERS & CLOUD,"AI Solutions, Analytics & Cloud Data",True,"Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'DATA CENTERS & CLOUD / AI Solutions, Analytics & Cloud Data'",HIGH
GEOJITFSL,NBFC & LENDING,Corporate & Specialized Lending NBFCs,FINANCE & NBFC,Diversified Consumer & MSME NBFC,True,Reclassified from legacy 'NBFC & LENDING / Corporate & Specialized Lending NBFCs' to clean economic model 'FINANCE & NBFC / Diversified Consumer & MSME NBFC',HIGH
GESHIP,LOGISTICS & SUPPLY CHAIN,3PL Integrated Supply Chain & Surface Transport,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,True,Reclassified from legacy 'LOGISTICS & SUPPLY CHAIN / 3PL Integrated Supply Chain & Surface Transport' to clean economic model 'SHIPBUILDING & PORTS / Marine Offshore Vessels & Tugs',HIGH
GFLLIMITED,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CHEMICALS,Fluorochemicals,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CHEMICALS / Fluorochemicals',HIGH
GGBL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,BEVERAGES & DISTILLERIES,IMFL Spirits & Distilleries,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'BEVERAGES & DISTILLERIES / IMFL Spirits & Distilleries',HIGH
GHCL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CHEMICALS,Industrial & Basic Chemicals,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CHEMICALS / Industrial & Basic Chemicals',HIGH
GHCLTEXTIL,BUILDING MATERIALS,Ceramic Tiles & Sanitaryware,TEXTILES,Cotton Spinning & Yarns,True,Reclassified from legacy 'BUILDING MATERIALS / Ceramic Tiles & Sanitaryware' to clean economic model 'TEXTILES / Cotton Spinning & Yarns',HIGH
GICHSGFIN,NBFC & LENDING,Housing Finance Companies (HFC),FINANCE & NBFC,Housing Finance (HFC),True,Reclassified from legacy 'NBFC & LENDING / Housing Finance Companies (HFC)' to clean economic model 'FINANCE & NBFC / Housing Finance (HFC)',HIGH
GICL,AUTO,Commercial Vehicles (Trucks & Buses),AUTO ANCILLARIES,Precision Auto Engine Components,True,Reclassified from legacy 'AUTO / Commercial Vehicles (Trucks & Buses)' to clean economic model 'AUTO ANCILLARIES / Precision Auto Engine Components',HIGH
GICRE,INSURANCE,Reinsurance & Insurance Aggregators,INSURANCE,General & Health Insurance,True,Reclassified from legacy 'INSURANCE / Reinsurance & Insurance Aggregators' to clean economic model 'INSURANCE / General & Health Insurance',HIGH
GILLANDERS,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,TEA & COFFEE,Tea & Coffee Plantations,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'TEA & COFFEE / Tea & Coffee Plantations',HIGH
GILLETTE,FMCG & PERSONAL CARE,Home Care & Personal Wash,FMCG & PERSONAL CARE,Personal Care & Soaps,True,Reclassified from legacy 'FMCG & PERSONAL CARE / Home Care & Personal Wash' to clean economic model 'FMCG & PERSONAL CARE / Personal Care & Soaps',HIGH
GILT10BETA,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CAPITAL MARKETS,Exchange Traded Funds (ETF),True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CAPITAL MARKETS / Exchange Traded Funds (ETF)',HIGH
GILT5BETA,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CAPITAL MARKETS,Exchange Traded Funds (ETF),True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CAPITAL MARKETS / Exchange Traded Funds (ETF)',HIGH
GINNIFILA,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,TEXTILES,Cotton Spinning & Yarns,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'TEXTILES / Cotton Spinning & Yarns',HIGH
GIPCL,POWER,Regional Thermal & Hydro Generation,POWER,Conventional Thermal & Fossil Power,True,Reclassified from legacy 'POWER / Regional Thermal & Hydro Generation' to clean economic model 'POWER / Conventional Thermal & Fossil Power',HIGH
GIRIRAJ,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Construction',HIGH
GJL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,JEWELLERY,Bridal Gold Jewellery & Retail Showrooms,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'JEWELLERY / Bridal Gold Jewellery & Retail Showrooms',HIGH
GKB,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'DEFENCE & AEROSPACE / Aerospace & Fighter Aircraft',HIGH
GKENERGY,POWER,Regional Thermal & Hydro Generation,POWER,Conventional Thermal & Fossil Power,True,Reclassified from legacy 'POWER / Regional Thermal & Hydro Generation' to clean economic model 'POWER / Conventional Thermal & Fossil Power',HIGH
GKSL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,HEALTHCARE SERVICES,Tertiary Hospitals & Clinics,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'HEALTHCARE SERVICES / Tertiary Hospitals & Clinics',HIGH
GKWLIMITED,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CAPITAL GOODS & MACHINERY,Precision Machine Tools & Fasteners,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CAPITAL GOODS & MACHINERY / Precision Machine Tools & Fasteners',HIGH
GLAND,PHARMACEUTICALS,CDMO & Injectable Contract Manufacturing,PHARMACEUTICALS,Finished Formulations,True,Reclassified from legacy 'PHARMACEUTICALS / CDMO & Injectable Contract Manufacturing' to clean economic model 'PHARMACEUTICALS / Finished Formulations',HIGH
GLAXO,PHARMACEUTICALS,Finished Dosage Formulations,PHARMACEUTICALS,Finished Formulations,True,Reclassified from legacy 'PHARMACEUTICALS / Finished Dosage Formulations' to clean economic model 'PHARMACEUTICALS / Finished Formulations',HIGH
GLENMARK,PHARMACEUTICALS,Finished Dosage Formulations,PHARMACEUTICALS,Finished Formulations,True,Reclassified from legacy 'PHARMACEUTICALS / Finished Dosage Formulations' to clean economic model 'PHARMACEUTICALS / Finished Formulations',HIGH
GLFL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,FINANCE & NBFC,Diversified Consumer & MSME NBFC,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'FINANCE & NBFC / Diversified Consumer & MSME NBFC',HIGH
GLOBAL,EDUCATION & EDTECH,Education Institutions & Educational Publishing,EDUCATION & EDTECH,Education Academies & Publishing,True,Reclassified from legacy 'EDUCATION & EDTECH / Education Institutions & Educational Publishing' to clean economic model 'EDUCATION & EDTECH / Education Academies & Publishing',HIGH
GLOBALE,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,TEXTILES,Cotton Spinning & Yarns,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'TEXTILES / Cotton Spinning & Yarns',HIGH
GLOBALPET,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,PAPER & PACKAGING,Flexible Packaging Films,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'PAPER & PACKAGING / Flexible Packaging Films',HIGH
GLOBALVECT,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,AVIATION,Passenger Airlines,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'AVIATION / Passenger Airlines',HIGH
GLOBE,IT SERVICES,Mid-Tier IT Services & Digital Consulting,COMMERCIAL TRADING,Commodity & Wholesale Trading,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'COMMERCIAL TRADING / Commodity & Wholesale Trading',HIGH
GLOBECIVIL,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Building Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,True,Reclassified from legacy 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Building Construction' to clean economic model 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Construction',HIGH
GLOBUSSPR,BEVERAGES & DISTILLERIES,Spirits & Alcoholic Distilleries,BEVERAGES & DISTILLERIES,IMFL Spirits & Distilleries,True,Reclassified from legacy 'BEVERAGES & DISTILLERIES / Spirits & Alcoholic Distilleries' to clean economic model 'BEVERAGES & DISTILLERIES / IMFL Spirits & Distilleries',HIGH
GLOSTERLTD,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,TEXTILES,Cotton Spinning & Yarns,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'TEXTILES / Cotton Spinning & Yarns',HIGH
GLOTTIS,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,LOGISTICS & SUPPLY CHAIN,Freight Forwarding & Multi-Modal Cargo,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'LOGISTICS & SUPPLY CHAIN / Freight Forwarding & Multi-Modal Cargo',HIGH
