symbol,company_name,sme_status,current_sector,current_industry,proposed_sector,proposed_industry,classification_confidence,change_required,reason,risk_score
MMWL,Media Matrix Worldwide Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MOREPENLAB,Morepen Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MOSCHIP,Moschip Technologies Limited,NON_SME,IT SERVICES,Engineering R&D (ER&D),IT SERVICES,Engineering R&D (ER&D),HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MTARTECH,Mtar Technologies Limited,NON_SME,DEFENCE & AEROSPACE,Precision Defence Machining,DEFENCE & AEROSPACE,Precision Defence Machining,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
NAHARPOLY,Nahar Poly Films Limited,NON_SME,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
NATCOPHARM,Natco Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
NAZARA,Nazara Technologies Limited,NON_SME,MEDIA & ENTERTAINMENT,"Gaming, Esports & Mobile Games",MEDIA & ENTERTAINMENT,"Gaming, Esports & Mobile Games",HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
NDTV,New Delhi Television Limited,NON_SME,AUTO ANCILLARIES,Auto Lighting & Electricals,AUTO ANCILLARIES,Auto Lighting & Electricals,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
NETWEB,Netweb Technologies India Limited,NON_SME,DATA CENTERS & CLOUD,AI Servers & Supercomputing Hardware,DATA CENTERS & CLOUD,AI Servers & Supercomputing Hardware,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
NETWORK18,Network18 Media & Investments Limited,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
NEULANDLAB,Neuland Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
NEXTMEDIA,Next Mediaworks Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
NIVABUPA,Niva Bupa Health Insurance Company Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
OFSS,Oracle Financial Services Software Limited,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ONESOURCE,Onesource Specialty Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ORCHPHARMA,Orchid Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
PAISALO,Paisalo Digital Limited,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
PANSARI,Pansari Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
PAR,Par Drugs And Chemicals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
PARAS,Paras Defence and Space Technologies Limited,NON_SME,DEFENCE & AEROSPACE,Defence Electronics & Radars,DEFENCE & AEROSPACE,Defence Electronics & Radars,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
PARSVNATH,Parsvnath Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
PPLPHARMA,Piramal Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
PREMIERPOL,Premier Polyfilm Limited,NON_SME,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
PRESTIGE,Prestige Estates Projects Limited,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,REAL ESTATE,Residential Townships & Commercial REITs,HIGH,CORRECTED,"Prestige Estates Projects Ltd is one of India's largest real estate developers (residential, commercial, hospitality projects in South India). Classified as 'Tea Plantations & Packaging' which is factually incorrect.",65
PROTEAN,Protean eGov Technologies Limited,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,IT SERVICES,E-Governance & Digital Public Infrastructure,HIGH,CORRECTED,"Protean eGov Technologies Ltd (formerly NSDL e-Governance Infrastructure Ltd) operates digital infrastructure for government services (PAN, NPS, e-KYC, Aadhaar-based authentication). Classified in 'Tea Plantations' is completely wrong.",65
QMSMEDI,QMS Medical Allied Services Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
RADAAN,Radaan Mediaworks India Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
RAJTV,Raj Television Network Limited,NON_SME,AUTO ANCILLARIES,Auto Lighting & Electricals,AUTO ANCILLARIES,Auto Lighting & Electricals,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
RPGLIFE,RPG Life Sciences Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
RUSTOMJEE,Keystone Realtors Limited,NON_SME,REAL ESTATE,Residential Townships & Commercial REITs,REAL ESTATE,Residential Townships & Commercial REITs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SAILIFE,Sai Life Sciences Limited,NON_SME,PHARMACEUTICALS,CDMO & Sterile Injectables,PHARMACEUTICALS,CDMO & Sterile Injectables,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SAKAR,Sakar Healthcare Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SAMBHAAV,Sambhaav Media Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SANDHAR,Sandhar Technologies Limited,NON_SME,AUTO ANCILLARIES,Auto Body & Closure Systems,AUTO ANCILLARIES,Auto Body & Closure Systems,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SANOFICONR,Sanofi Consumer Healthcare India Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SCI,Shipping Corporation Of India Limited,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SCILAL,Shipping Corporation of India Land and Assets Limited,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SENORES,Senores Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SHADOWFAX,Shadowfax Technologies Limited,NON_SME,LOGISTICS & SUPPLY CHAIN,Last Mile & Quick Commerce Logistics,LOGISTICS & SUPPLY CHAIN,Last Mile & Quick Commerce Logistics,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SHEMAROO,Shemaroo Entertainment Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SHILCTECH,Shilchar Technologies Limited,NON_SME,EMS & ELECTRONICS,Power Transformers & Electrical Equipment,EMS & ELECTRONICS,Power Transformers & Electrical Equipment,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SHREEJISPG,Shreeji Shipping Global Limited,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SHRIPISTON,SPR Auto Technologies Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SHUKRAPHAR,Shukra Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SILLYMONKS,Silly Monks Entertainment Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SMSPHARMA,SMS Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SOLARA,Solara Active Pharma Sciences Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SOTL,Savita Oil Technologies Limited,NON_SME,OIL & GAS,Refining & Petrochemicals,OIL & GAS,Refining & Petrochemicals,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SPARC,Sun Pharma Advanced Research Company Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
STAR,Strides Pharma Science Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
STARHEALTH,Star Health and Allied Insurance Company Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
STLTECH,Sterlite Technologies Limited,NON_SME,TELECOM,Optical Fibre Cables & Telecom Infra,TELECOM,Optical Fibre Cables & Telecom Infra,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SUDEEPPHRM,Sudeep Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SUNLOC,Sunil Healthcare Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SUNPHARMA,Sun Pharmaceutical Industries Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SURAJEST,Suraj Estate Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
SUVEN,Suven Life Sciences Limited,NON_SME,PHARMACEUTICALS,CDMO & Sterile Injectables,PHARMACEUTICALS,CDMO & Sterile Injectables,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
TATVA,Tatva Chintan Pharma Chem Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
TEAMLEASE,Teamlease Services Limited,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,STAFFING & EMPLOYMENT SERVICES,Staffing & Workforce Solutions,HIGH,CORRECTED,Teamlease Services Ltd is India's largest staffing and employment company. Current classification in 'Tea Plantations & Packaging' is factually wrong. No tea/coffee business.,65
THAKDEV,Thakkers Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
THYROCARE,Thyrocare Technologies Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
TIPSFILMS,Tips Films Limited,NON_SME,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
TORNTPHARM,Torrent Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
TOUCHWOOD,Touchwood Entertainment Limited,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
TRANSWORLD,TRANSWORLD SHIPPING LINES LIMITED,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
TTKHLTCARE,TTK Healthcare Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
UNICHEMLAB,Unichem Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,TEA & COFFEE,Tea Plantations & Packaging,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
VAISHALI,Vaishali Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
VALIANTLAB,Valiant Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
VINEETLAB,Vineet Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
WAAREERTL,Waaree Renewable Technologies Limited,NON_SME,RENEWABLE ENERGY,Renewable Energy & Solar,RENEWABLE ENERGY,Renewable Energy & Solar,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ZEEL,Zee Entertainment Enterprises Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ZEEMEDIA,Zee Media Corporation Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ZENTEC,Zen Technologies Limited,NON_SME,DEFENCE & AEROSPACE,Defence Electronics & Radars,DEFENCE & AEROSPACE,Defence Electronics & Radars,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ZIMLAB,Zim Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
NARMADA,Narmada Agrobase Limited,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,AGRICULTURE & AGRI-INPUTS,Agrochemicals & Crop Protection,MEDIUM,REVIEW_REQUIRED,"Narmada Agrobase Ltd — requires verification. 'Agrobase' could indicate agricultural inputs, but needs review against company filings.",35
TEAMGTY,Team India Guaranty Limited,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,FINANCE & NBFC,Credit Guarantee & Risk Management Services,MEDIUM,CORRECTED,Team India Guaranty Ltd is a credit guarantee / financial services entity. Classified in Tea & Coffee sector is incorrect.,35
AAKAAR,AAKAAR,SME,METALS & FABRICATION,Precision Metal Fabrication,METALS & FABRICATION,Precision Metal Fabrication,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AARADHYA,AARADHYA,SME,STEEL,Steel Pipes & Tubes,STEEL,Steel Pipes & Tubes,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AATMAJ,AATMAJ,SME,HEALTHCARE SERVICES,Hospitals & Healthcare Chains,HEALTHCARE SERVICES,Hospitals & Healthcare Chains,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ABHAPOWER,ABHAPOWER,SME,POWER,Conventional Thermal & Fossil Power,POWER,Conventional Thermal & Fossil Power,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ABSMARINE,ABSMARINE,SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ACCENTMIC,ACCENTMIC,SME,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ACCPL,ACCPL,SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ACTIVEINFR,ACTIVEINFR,SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ADDICTIVE,ADDICTIVE,SME,MEDIA & ENTERTAINMENT,Print Media & Publishing,MEDIA & ENTERTAINMENT,Print Media & Publishing,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ADISOFT,ADISOFT,SME,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AERON,AERON,SME,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AESTHETIK,AESTHETIK,SME,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AGARWALTUF,AGARWALTUF,SME,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AGNI,AGNI,SME,RENEWABLE ENERGY,Solar PV & Green Hydrogen,RENEWABLE ENERGY,Solar PV & Green Hydrogen,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AHIMSA,AHIMSA,SME,MINING & MINERALS,Industrial Minerals,MINING & MINERALS,Industrial Minerals,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AILIMITED,AILIMITED,SME,TEXTILES,Cotton Spinning & Yarns,TEXTILES,Cotton Spinning & Yarns,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AIMTRON,AIMTRON,SME,EMS & ELECTRONICS,Printed Circuit Boards (PCBA) & Components,EMS & ELECTRONICS,Printed Circuit Boards (PCBA) & Components,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AISL,AISL,SME,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AKANKSHA,AKANKSHA,SME,ELECTRICAL EQUIPMENT,Power & Distribution Transformers,ELECTRICAL EQUIPMENT,Power & Distribution Transformers,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AKIKO,AKIKO,SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ALCODIS,ALCODIS,SME,BEVERAGES & DISTILLERIES,IMFL Spirits & Distilleries,BEVERAGES & DISTILLERIES,IMFL Spirits & Distilleries,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ALLETEC,ALLETEC,SME,IT SERVICES,Enterprise Software & SaaS,IT SERVICES,Enterprise Software & SaaS,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ALPEXSOLAR,ALPEXSOLAR,SME,RENEWABLE ENERGY,Solar PV & Green Hydrogen,RENEWABLE ENERGY,Solar PV & Green Hydrogen,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ALUWIND,ALUWIND,SME,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AMBAAUTO,AMBAAUTO,SME,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AMBANIORGO,AMBANIORGO,SME,CHEMICALS,Specialty Chemicals,CHEMICALS,Specialty Chemicals,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AMCL,AMCL,SME,CAPITAL GOODS & MACHINERY,Heavy Process Equipment & Machinery,CAPITAL GOODS & MACHINERY,Heavy Process Equipment & Machinery,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
AMEYA,AMEYA,SME,CAPITAL GOODS & MACHINERY,Pumps & Compressors,CAPITAL GOODS & MACHINERY,Pumps & Compressors,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ANAWIL,ANAWIL,SME,TEXTILES,Cotton Spinning & Yarns,TEXTILES,Cotton Spinning & Yarns,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ANLON,ANLON,SME,CAPITAL GOODS & MACHINERY,Pumps & Compressors,CAPITAL GOODS & MACHINERY,Pumps & Compressors,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ANONDITA,ANONDITA,SME,HEALTHCARE SERVICES,Medical Clinics & Equipment,HEALTHCARE SERVICES,Medical Clinics & Equipment,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ANYA,ANYA,SME,PLASTICS & POLYMERS,Engineered Polymers & Compounding,PLASTICS & POLYMERS,Engineered Polymers & Compounding,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
APEXECO,APEXECO,SME,WATER TREATMENT,"Industrial Effluent, Desalination & ZLD",WATER TREATMENT,"Industrial Effluent, Desalination & ZLD",HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
APRAMEYA,APRAMEYA,SME,HEALTHCARE SERVICES,Medical Clinics & Equipment,HEALTHCARE SERVICES,Medical Clinics & Equipment,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
APS,APS,SME,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
APSISAERO,APSISAERO,SME,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ARABIAN,ARABIAN,SME,OIL & GAS,Lubricants & Specialty Oils,OIL & GAS,Lubricants & Specialty Oils,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ARCIIL,ARCIIL,SME,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ARHAM,ARHAM,SME,PAPER & PACKAGING,Flexible Packaging Films,PAPER & PACKAGING,Flexible Packaging Films,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
ARIHANTACA,ARIHANTACA,SME,EDUCATION & EDTECH,Education Academies & Publishing,EDUCATION & EDTECH,Education Academies & Publishing,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,0
